,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,43,05:07,"SUB IN by HARRIS,REBECCA",,,,,,,"SUB IN by HARRIS,REBECCA",1,subbing in,,millsaps,rebecca harris,,307
44,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,44,05:07,"SUB IN by JONES,BRAZIA",,,,,,,"SUB IN by JONES,BRAZIA",1,subbing in,,millsaps,brazia jones,,307
45,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,45,05:07,"SUB OUT by WILSON,ANNA",,,,,,,"SUB OUT by WILSON,ANNA",1,subbing out,,millsaps,anna wilson,,307
46,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,46,05:07,"SUB OUT by MANNING,TAELOR",,,,,,,"SUB OUT by MANNING,TAELOR",1,subbing out,,millsaps,taelor manning,,307
47,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,47,05:07,,,,,"SUB IN by WEHBY,ABIGAIL",,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,307
48,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,48,05:07,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,307
49,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,49,05:07,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,307
50,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,50,05:07,,,,,"SUB OUT by BALLARD,AMI",,,"SUB OUT by BALLARD,AMI",1,subbing out,,Centre,ami ballard,,307
51,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,51,05:00,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1,timeout,,millsaps,,,300
52,13,millsaps,Millsaps,Centre,89-72,89,72,"21, 22, 17, 29, 89","18, 13, 16, 25, 72",21,22,17,29,89,18,13,16,25,72,12-1 (3-0 SAA),4-10 (1-2 SAA),01/07/18,Win,174,No Location Recorded,1:00 PM,H,52,04:57,,,,,"FOUL  by WEHBY,ABIGAIL",,,"FOUL  by WEHBY,ABIGAIL",1,foul,,Centre,abigail wehby,,297
