,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,43,05:54,"MISS JUMPER by MARCUM,MADISON",,,,,,,"MISS JUMPER by MARCUM,MADISON",1,jumper,missed,Centre,madison marcum,,354
44,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,44,--,"REBOUND OFF by MARCUM,MADISON",,,,,,,"REBOUND OFF by MARCUM,MADISON",1,offensive rebound,,Centre,madison marcum,,
45,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,45,05:50,"MISS 3PTR by HICKS,ELLEN",,,,,,,"MISS 3PTR by HICKS,ELLEN",1,three pointer,missed,Centre,ellen hicks,,350
46,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,46,--,"REBOUND OFF by BUNNER,CHEYENNE",,,,,,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
47,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,47,05:44,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,344
48,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,48,05:44,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,344
49,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,49,05:44,"SUB OUT by BUNNER,CHEYENNE",,,,,,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,344
50,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,50,05:44,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,344
51,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,51,05:32,,,,,"FOUL  by USTICK,JESSIE",,,"FOUL  by USTICK,JESSIE",1,foul,,rhodes,jessie ustick,,332
52,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,52,05:32,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,332
53,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,53,05:32,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,332
