,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HC-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,55,04:31,,,,,"SUB OUT by TODD,BROOKE",,,"SUB OUT by TODD,BROOKE",1,subbing out,,hanover,brooke todd,,271
56,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,56,04:18,,10,,14 (+4),"GOOD LAYUP by HARTMAN,KATIE(in the paint)",HC-W 10-14 (-4),,"GOOD LAYUP by HARTMAN,KATIE(in the paint)",1,layup,good,hanover,katie hartman,2,258
57,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,57,04:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,254
58,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,58,04:14,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,254
59,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,59,04:14,"SUB OUT by BALLARD,AMI",,,,,,,"SUB OUT by BALLARD,AMI",1,subbing out,,Centre,ami ballard,,254
60,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,60,03:45,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,225
61,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,61,--,"REBOUND OFF by FEE,MIKAYLA",,,,,,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
62,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,62,03:40,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",12,,14 (+2),,CENTRE-W 12-14 (-2),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,220
63,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,63,03:30,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,210
64,4,hanover,Centre,Hanover,52-62,52,62,"14, 11, 12, 15, 52","20, 13, 10, 19, 62",14,11,12,15,52,20,13,10,19,62,3-1,3-1,11/25/17,Lose,171,No Location Recorded,2:00 PM,A,64,03:30,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,210
