,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MSJ-WBK,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,48,04:56,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,296
49,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,49,04:56,,,,,"SUB OUT by ROBERTS,BRIANNA",,,"SUB OUT by ROBERTS,BRIANNA",1,subbing out,,Centre,brianna roberts,,296
50,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,50,04:52,"FOUL  by SANDERS,REBA",,,,,,,"FOUL  by SANDERS,REBA",1,foul,,mount st. joseph,reba sanders,,292
51,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,51,04:52,,6 (+1),,5,"GOOD FT by FEE,MIKAYLA",CENTRE-W 6-5 (-1),,"GOOD FT by FEE,MIKAYLA",1,free throw,good,Centre,mikayla fee,1,292
52,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,52,04:52,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,292
53,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,53,04:52,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,292
54,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,54,04:14,,,,,"MISS FT by FEE,MIKAYLA",,,"MISS FT by FEE,MIKAYLA",1,free throw,missed,Centre,mikayla fee,,254
55,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,55,--,"REBOUND DEF by TUCKER,ALEHIA",,,,,,,"REBOUND DEF by TUCKER,ALEHIA",1,defensive rebound,,mount st. joseph,alehia tucker,,
56,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,56,04:02,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,242
57,6,mt-st-joseph,Mount St. Joseph,Centre,59-58,59,58,"9, 13, 16, 21, 59","8, 14, 16, 20, 58",9,13,16,21,59,8,14,16,20,58,5-1,3-2,11/28/17,Win,59,No Location Recorded,7:00 PM,H,57,04:02,"GOOD FT by TUCKER,ALEHIA",7 (+2),,5,,MSJ-WBK 7-5 (-2),,"GOOD FT by TUCKER,ALEHIA",1,free throw,good,mount st. joseph,alehia tucker,1,242
