,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,TMU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,55,--,,,,,"ASSIST  by TEMPLE,MADISON",,,"ASSIST  by TEMPLE,MADISON",1,assist,,thomas more,madison temple,,
56,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,56,03:17,"TURNOVER  by MILLER,LAKKEN",,,,,,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,197
57,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,57,03:17,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,197
58,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,58,03:17,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,197
59,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,59,03:17,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,197
60,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,60,03:17,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,197
61,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,61,03:17,"SUB IN by WILSON,KATHLEEN",,,,,,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,197
62,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,62,03:17,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,197
63,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,63,03:17,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,197
64,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,64,03:17,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,197
