,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,AUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
52,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,52,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
53,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,53,05:36,"GOOD JUMPER by BUNNER,CHEYENNE",7 (+4),,3,,CENTRE-W 7-3 (+4),,"GOOD JUMPER by BUNNER,CHEYENNE",1,jumper,good,Centre,cheyenne bunner,2,336
54,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,54,--,"ASSIST  by MORRIS,TAYLOR",,,,,,,"ASSIST  by MORRIS,TAYLOR",1,assist,,Centre,taylor morris,,
55,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,55,05:11,,,,,"MISS JUMPER by SMITH,KIARA",,,"MISS JUMPER by SMITH,KIARA",1,jumper,missed,averett,kiara smith,,311
56,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,56,--,,,,,"REBOUND OFF by CARTHON,BROOKE",,,"REBOUND OFF by CARTHON,BROOKE",1,offensive rebound,,averett,brooke carthon,,
57,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,57,05:07,,7 (+2),,5,"GOOD LAYUP by CARTHON,BROOKE(in the paint)",AUW 7-5 (+2),,"GOOD LAYUP by CARTHON,BROOKE(in the paint)",1,layup,good,averett,brooke carthon,2,307
58,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,58,04:47,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",9 (+4),,5,,CENTRE-W 9-5 (+4),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,287
59,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,59,--,"ASSIST  by MURRAY,KYLEE",,,,,,,"ASSIST  by MURRAY,KYLEE",1,assist,,Centre,kylee murray,,
60,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,60,04:39,,9 (+2),,7,"GOOD LAYUP by ROCCIA,ALIXIS(in the paint)",AUW 9-7 (+2),,"GOOD LAYUP by ROCCIA,ALIXIS(in the paint)",1,layup,good,averett,alixis roccia,2,279
61,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,61,04:32,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1,turnover,,Centre,,,272
