,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,LETU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
48,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,48,05:43,,,,,"FOUL  by MIKULSKI,MICAYLA",,,"FOUL  by MIKULSKI,MICAYLA",1,foul,,letourneau,micayla mikulski,,343
49,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,49,05:26,"MISS JUMPER by WILSON,KAT",,,,,,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,326
50,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,50,--,,,,,"REBOUND DEF by WHITFIELD,KEAUNA",,,"REBOUND DEF by WHITFIELD,KEAUNA",1,defensive rebound,,letourneau,keauna whitfield,,
51,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,51,05:17,,,,,"MISS LAYUP by WHITFIELD,KEAUNA",,,"MISS LAYUP by WHITFIELD,KEAUNA",1,layup,missed,letourneau,keauna whitfield,,317
52,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,52,--,,,,,"REBOUND OFF by MAYFIELD,MADISON",,,"REBOUND OFF by MAYFIELD,MADISON",1,offensive rebound,,letourneau,madison mayfield,,
53,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,53,05:09,,,,,"TURNOVER  by MIKULSKI,MICAYLA",,,"TURNOVER  by MIKULSKI,MICAYLA",1,turnover,,letourneau,micayla mikulski,,309
54,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,54,04:50,,,,,"FOUL  by MAYFIELD,MADISON",,,"FOUL  by MAYFIELD,MADISON",1,foul,,letourneau,madison mayfield,,290
55,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,55,04:48,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,288
56,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,56,--,,,,,"REBOUND DEF by MIKULSKI,MICAYLA",,,"REBOUND DEF by MIKULSKI,MICAYLA",1,defensive rebound,,letourneau,micayla mikulski,,
57,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,57,04:48,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,288
58,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,58,04:48,"SUB OUT by HEROLD,PAYTON",,,,,,,"SUB OUT by HEROLD,PAYTON",1,subbing out,,Centre,payton herold,,288
59,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,59,04:47,"FOUL  by ROBERTS,BRIANNA",,,,,,,"FOUL  by ROBERTS,BRIANNA",1,foul,,Centre,brianna roberts,,287
60,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,60,04:47,,7 (+2),,5,"GOOD FT by LIGHTFOOT,BAILEY",LETU 7-5 (+2),,"GOOD FT by LIGHTFOOT,BAILEY",1,free throw,good,letourneau,bailey lightfoot,1,287
61,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,61,04:47,,,,,"SUB IN by HOPKINS,SCRUFFY",,,"SUB IN by HOPKINS,SCRUFFY",1,subbing in,,letourneau,scruffy hopkins,,287
62,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,62,04:47,,,,,"SUB OUT by MIKULSKI,MICAYLA",,,"SUB OUT by MIKULSKI,MICAYLA",1,subbing out,,letourneau,micayla mikulski,,287
63,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,63,04:43,,7 (+1),,6,"GOOD FT by LIGHTFOOT,BAILEY",LETU 7-6 (+1),,"GOOD FT by LIGHTFOOT,BAILEY",1,free throw,good,letourneau,bailey lightfoot,1,283
