,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
53,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,53,06:22,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,382
54,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,54,06:22,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,382
55,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,55,06:22,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,382
56,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,56,06:22,,,,,"SUB OUT by HEROLD,PAYTON",,,"SUB OUT by HEROLD,PAYTON",1,subbing out,,Centre,payton herold,,382
57,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,57,06:21,,,,,"TURNOVER  by WILSON,KAT",,,"TURNOVER  by WILSON,KAT",1,turnover,,Centre,kat wilson,,381
58,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,58,06:20,"STEAL  by LYLES,KEKE",,,,,,,"STEAL  by LYLES,KEKE",1,steal,,belhaven,,,380
59,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,59,06:18,"GOOD JUMPER by MARTIN,SYDNEY(fastbreak)(in the paint)",15 (+8),,7,,BU 15-7 (-8),,"GOOD JUMPER by MARTIN,SYDNEY(fastbreak)(in the paint)",1,jumper,good,belhaven,sydney(fastbreak) martin,2,378
60,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,60,--,"ASSIST  by LYLES,KEKE",,,,,,,"ASSIST  by LYLES,KEKE",1,assist,,belhaven,keke lyles,,
61,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,61,06:01,,,,,"TURNOVER  by JENNINGS,RACHEL",,,"TURNOVER  by JENNINGS,RACHEL",1,turnover,,Centre,rachel jennings,,361
62,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,62,06:00,"STEAL  by LYLES,KEKE",,,,,,,"STEAL  by LYLES,KEKE",1,steal,,belhaven,,,360
63,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,63,05:58,"GOOD LAYUP by PAPENBURG,PEYTON(fastbreak)(in the paint)",17 (+10),,7,,BU 17-7 (-10),,"GOOD LAYUP by PAPENBURG,PEYTON(fastbreak)(in the paint)",1,layup,good,belhaven,peyton(fastbreak) papenburg,2,358
64,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,64,--,"ASSIST  by LYLES,KEKE",,,,,,,"ASSIST  by LYLES,KEKE",1,assist,,belhaven,keke lyles,,
