,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,DYC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
56,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,56,05:36,"SUB IN by ROBERTS,BRIANNA",,,,,,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,336
57,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,57,05:36,"SUB IN by HEROLD,PAYTON",,,,,,,"SUB IN by HEROLD,PAYTON",1,subbing in,,Centre,payton herold,,336
58,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,58,05:25,,,,,"MISS JUMPER by HORE,DANIELLE",,,"MISS JUMPER by HORE,DANIELLE",1,jumper,missed,d'youville,danielle hore,,325
59,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,59,--,"REBOUND DEF by THACKER,JOSIE",,,,,,,"REBOUND DEF by THACKER,JOSIE",1,defensive rebound,,Centre,josie thacker,,
60,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,60,05:07,"GOOD 3PTR by HEROLD,PAYTON",12 (+12),,0,,CEN 12-0 (+12),,"GOOD 3PTR by HEROLD,PAYTON",1,three pointer,good,Centre,payton herold,3,307
61,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,61,--,"ASSIST  by WILSON,KAT",,,,,,,"ASSIST  by WILSON,KAT",1,assist,,Centre,kat wilson,,
62,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,62,05:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,303
63,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,63,04:39,,,,,"TURNOVER  by MCKEONE,BRIGID(in the paint)",,,"TURNOVER  by MCKEONE,BRIGID(in the paint)",1,turnover,,d'youville,brigid mckeone,,279
64,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,64,04:26,"TURNOVER  by HEROLD,PAYTON(in the paint)",,,,,,,"TURNOVER  by HEROLD,PAYTON(in the paint)",1,turnover,,Centre,payton herold,,266
65,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,65,04:26,,,,,"SUB OUT by HORE,DANIELLE",,,"SUB OUT by HORE,DANIELLE",1,subbing out,,d'youville,danielle hore,,266
