,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,44,04:51,"SUB OUT by WILSON,ANNA",,,,,,,"SUB OUT by WILSON,ANNA",1,subbing out,,millsaps,anna wilson,,291
45,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,45,04:51,"SUB IN by HILL,LAUREN",,,,,,,"SUB IN by HILL,LAUREN",1,subbing in,,millsaps,lauren hill,,291
46,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,46,04:51,,,,,"SUB OUT by MURRAY,KYLEE",,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,291
47,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,47,04:51,,,,,"SUB IN by WILSON,KAT",,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,291
48,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,48,04:47,,8 (+2),,6,"GOOD 3PTR by WILSON,KAT",Centre 8-6 (-2),,"GOOD 3PTR by WILSON,KAT",1,three pointer,good,Centre,kat wilson,3,287
49,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,49,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
50,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,50,04:21,"TURNOVER  by MANNING,TAELOR",,,,,,,"TURNOVER  by MANNING,TAELOR",1,turnover,,millsaps,taelor manning,,261
51,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,51,04:21,,,,,"SUB OUT by ROBERTS,BRIANNA",,,"SUB OUT by ROBERTS,BRIANNA",1,subbing out,,Centre,brianna roberts,,261
52,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,52,04:21,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,261
53,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,53,04:21,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,261
