,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,44,05:19,"STEAL  by OWENS,ALYSSA",,,,,,,"STEAL  by OWENS,ALYSSA",1,steal,,rhodes,,,319
45,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,45,05:15,"GOOD JUMPER by OWENS,ALYSSA(fastbreak)(in the paint)",8 (+5),,3,,Rhodes 8-3 (-5),,"GOOD JUMPER by OWENS,ALYSSA(fastbreak)(in the paint)",1,jumper,good,rhodes,alyssa(fastbreak) owens,2,315
46,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,46,04:57,,,,,"MISS 3PTR by THACKER,JOSIE",,,"MISS 3PTR by THACKER,JOSIE",1,three pointer,missed,Centre,josie thacker,,297
47,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,47,--,,,,,"REBOUND OFF by HICKS,ELLEN",,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
48,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,48,04:47,,8 (+3),,5,"GOOD JUMPER by HICKS,ELLEN(in the paint)",Centre 8-5 (-3),,"GOOD JUMPER by HICKS,ELLEN(in the paint)",1,jumper,good,Centre,ellen hicks,2,287
49,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,49,04:30,"MISS 3PTR by OWENS,ALYSSA",,,,,,,"MISS 3PTR by OWENS,ALYSSA",1,three pointer,missed,rhodes,alyssa owens,,270
50,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,50,--,,,,,"REBOUND DEF by THACKER,JOSIE",,,"REBOUND DEF by THACKER,JOSIE",1,defensive rebound,,Centre,josie thacker,,
51,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,51,04:02,,,,,"MISS 3PTR by THACKER,JOSIE",,,"MISS 3PTR by THACKER,JOSIE",1,three pointer,missed,Centre,josie thacker,,242
52,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,52,--,"REBOUND DEF by DOWNEY,KIERA",,,,,,,"REBOUND DEF by DOWNEY,KIERA",1,defensive rebound,,rhodes,kiera downey,,
53,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,53,03:51,"GOOD JUMPER by HAGEN,ELLEN(in the paint)",10 (+5),,5,,Rhodes 10-5 (-5),,"GOOD JUMPER by HAGEN,ELLEN(in the paint)",1,jumper,good,rhodes,ellen hagen,2,231
54,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,54,03:26,,,,,"MISS JUMPER by WILSON,KAT",,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,206
55,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,55,--,"REBOUND DEF by LEE,TAYA",,,,,,,"REBOUND DEF by LEE,TAYA",1,defensive rebound,,rhodes,taya lee,,
56,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,56,03:13,"GOOD JUMPER by DOWNEY,KIERA(in the paint)",12 (+7),,5,,Rhodes 12-5 (-7),,"GOOD JUMPER by DOWNEY,KIERA(in the paint)",1,jumper,good,rhodes,kiera downey,2,193
57,18,rhodes,Rhodes,Centre,60-55,60,55,"7, 12, 19, 22, 60","14, 6, 18, 17, 55",7,12,19,22,60,14,6,18,17,55,"10-8,4-3 SAA","10-7,5-2 SAA",01/19/20,Win,109,No Location Recorded,1:00 PM,H,57,03:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,191
