,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~2,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
52,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,52,--,,,,,"ASSIST  by PHILLIPS,AIDAN",,,"ASSIST  by PHILLIPS,AIDAN",1,assist,,marymount,aidan phillips,,
53,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,53,04:13,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,253
54,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,54,--,,,,,"REBOUND DEF by PHILLIPS,AIDAN",,,"REBOUND DEF by PHILLIPS,AIDAN",1,defensive rebound,,marymount,aidan phillips,,
55,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,55,03:56,,,,,"MISS JUMPER by MCSHEA,KATIE",,,"MISS JUMPER by MCSHEA,KATIE",1,jumper,missed,marymount,katie mcshea,,236
56,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,56,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
57,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,57,03:44,"MISS JUMPER by WILSON,KAT",,,,,,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,224
58,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,58,--,"REBOUND OFF by ROBERTS,BRIANNA",,,,,,,"REBOUND OFF by ROBERTS,BRIANNA",1,offensive rebound,,Centre,brianna roberts,,
59,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,59,03:37,"MISS 3PTR by JENNINGS,RACHEL",,,,,,,"MISS 3PTR by JENNINGS,RACHEL",1,three pointer,missed,Centre,rachel jennings,,217
60,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,60,--,,,,,"REBOUND DEF by HADDAD,GABRIELLA",,,"REBOUND DEF by HADDAD,GABRIELLA",1,defensive rebound,,marymount,gabriella haddad,,
61,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,61,03:11,,,,,"TURNOVER  by CLAGGETT,ANANDA",,,"TURNOVER  by CLAGGETT,ANANDA",1,turnover,,marymount,ananda claggett,,191
