,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,49,05:28,,,,,"MISS JUMPER by JENKINS,KESSIE",,,"MISS JUMPER by JENKINS,KESSIE",1,jumper,missed,hendrix,kessie jenkins,,328
50,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,50,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
51,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,51,05:06,,,,,"MISS JUMPER by BURNS,KENNEDI",,,"MISS JUMPER by BURNS,KENNEDI",1,jumper,missed,hendrix,kennedi burns,,306
52,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,52,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
53,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,53,04:36,"GOOD LAYUP by DUGGINS,NATALIE(in the paint)",6 (+1),,5,,CENTRE 6-5 (+1),,"GOOD LAYUP by DUGGINS,NATALIE(in the paint)",1,layup,good,Centre,natalie duggins,2,276
54,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,54,--,"ASSIST  by HEROLD,PAYTON",,,,,,,"ASSIST  by HEROLD,PAYTON",1,assist,,Centre,payton herold,,
55,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,55,04:17,,6,,7 (+1),"GOOD LAYUP by JENKINS,KESSIE(in the paint)",HENDRIX 6-7 (-1),,"GOOD LAYUP by JENKINS,KESSIE(in the paint)",1,layup,good,hendrix,kessie jenkins,2,257
56,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,56,--,,,,,"ASSIST  by WENDT,CAROLINE",,,"ASSIST  by WENDT,CAROLINE",1,assist,,hendrix,caroline wendt,,
57,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,57,04:01,"MISS 3PTR by WEHBY,ABIGAIL",,,,,,,"MISS 3PTR by WEHBY,ABIGAIL",1,three pointer,missed,Centre,abigail wehby,,241
58,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,58,--,,,,,"REBOUND DEF by JENKINS,KESSIE",,,"REBOUND DEF by JENKINS,KESSIE",1,defensive rebound,,hendrix,kessie jenkins,,
