,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,44,04:44,,,,,"SUB OUT by ANDREASSEN,CAROLINE",,,"SUB OUT by ANDREASSEN,CAROLINE",1,subbing out,,Centre,caroline andreassen,,284
45,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,45,04:31,,,,,"MISS 3PTR by BALLARD,AMI",,,"MISS 3PTR by BALLARD,AMI",1,three pointer,missed,Centre,ami ballard,,271
46,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,46,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
47,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,47,04:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,Centre,,,268
48,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,48,04:04,"TURNOVER  by BODE,HAILEY",,,,,,,"TURNOVER  by BODE,HAILEY",1,turnover,,hendrix,hailey bode,,244
49,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,49,04:03,,,,,"STEAL  by BALLARD,AMI",,,"STEAL  by BALLARD,AMI",1,steal,,Centre,,,243
50,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,50,03:57,,,,,"TURNOVER  by MOORE,LAUREN",,,"TURNOVER  by MOORE,LAUREN",1,turnover,,Centre,lauren moore,,237
51,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,51,03:54,"STEAL  by TURNER,AMBER",,,,,,,"STEAL  by TURNER,AMBER",1,steal,,hendrix,,,234
52,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,52,03:48,"TURNOVER  by TURNER,AMBER",,,,,,,"TURNOVER  by TURNER,AMBER",1,turnover,,hendrix,amber turner,,228
53,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,53,03:48,"SUB IN by PROWSE,HEATHER",,,,,,,"SUB IN by PROWSE,HEATHER",1,subbing in,,hendrix,heather prowse,,228
54,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,54,03:48,"SUB OUT by ANDERSON,MADDIE",,,,,,,"SUB OUT by ANDERSON,MADDIE",1,subbing out,,hendrix,maddie anderson,,228
55,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,55,03:48,"SUB OUT by BODE,HAILEY",,,,,,,"SUB OUT by BODE,HAILEY",1,subbing out,,hendrix,hailey bode,,228
56,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,56,03:48,"SUB OUT by TURNER,AMBER",,,,,,,"SUB OUT by TURNER,AMBER",1,subbing out,,hendrix,amber turner,,228
57,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,57,03:48,,,,,"SUB IN by VANCE,DAY",,,"SUB IN by VANCE,DAY",1,subbing in,,Centre,day vance,,228
