,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CNTRW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
52,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,52,12:17,,,,,"SUB IN by BENTLEY,ALANA",,,"SUB IN by BENTLEY,ALANA",1,subbing in,,oglethorpe,alana bentley,,737
53,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,53,12:17,,,,,"SUB OUT by BLECKLEY,ALI",,,"SUB OUT by BLECKLEY,ALI",1,subbing out,,oglethorpe,ali bleckley,,737
54,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,54,12:08,,,,,"MISS JUMPER by BENTLEY,ALANA",,,"MISS JUMPER by BENTLEY,ALANA",1,jumper,missed,oglethorpe,alana bentley,,728
55,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,55,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
56,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,56,11:57,"GOOD 3PTR by COLLIVER,OLIVIA",16 (+2),,14,,CNTRW 16-14 (+2),,"GOOD 3PTR by COLLIVER,OLIVIA",1,three pointer,good,Centre,olivia colliver,3,717
57,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,57,11:39,,16,,16,"GOOD LAYUP by BUCK,EMILY(in the paint)",OUW 16-16 (0),,"GOOD LAYUP by BUCK,EMILY(in the paint)",1,layup,good,oglethorpe,emily buck,2,699
58,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,58,11:25,"MISS 3PTR by COLLIVER,OLIVIA",,,,,,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,685
59,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,59,--,,,,,"REBOUND DEF by CULPEPPER,KENDELLE",,,"REBOUND DEF by CULPEPPER,KENDELLE",1,defensive rebound,,oglethorpe,kendelle culpepper,,
60,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,60,11:06,,,,,"TURNOVER  by BUCK,EMILY",,,"TURNOVER  by BUCK,EMILY",1,turnover,,oglethorpe,emily buck,,666
61,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,61,11:05,"STEAL  by GUY,ALANNA",,,,,,,"STEAL  by GUY,ALANNA",1,steal,,Centre,,,665
