,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,45,14:50,"FOUL  by BAECHLE,PAIGE",,,,,,,"FOUL  by BAECHLE,PAIGE",1,foul,,Centre,paige baechle,,890
46,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,46,14:50,,,,,"SUB IN by NEAL,TAYLOR",,,"SUB IN by NEAL,TAYLOR",1,subbing in,,hendrix,taylor neal,,890
47,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,47,14:50,,,,,"SUB OUT by HURST,PEYTON",,,"SUB OUT by HURST,PEYTON",1,subbing out,,hendrix,peyton hurst,,890
48,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,48,14:30,,,,,"MISS 3PTR by BROBERG,KATI",,,"MISS 3PTR by BROBERG,KATI",1,three pointer,missed,hendrix,kati broberg,,870
49,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,49,--,,,,,"REBOUND OFF by MCNEILL,KAITLIN",,,"REBOUND OFF by MCNEILL,KAITLIN",1,offensive rebound,,hendrix,kaitlin mcneill,,
50,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,50,14:25,,,,,"MISS LAYUP by MCNEILL,KAITLIN",,,"MISS LAYUP by MCNEILL,KAITLIN",1,layup,missed,hendrix,kaitlin mcneill,,865
51,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,51,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
52,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,52,14:18,"MISS JUMPER by COLLIVER,OLIVIA",,,,,,,"MISS JUMPER by COLLIVER,OLIVIA",1,jumper,missed,Centre,olivia colliver,,858
53,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,53,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
54,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,54,14:15,"SUB IN by STOUGH,MARY GORDON",,,,,,,"SUB IN by STOUGH,MARY GORDON",1,subbing in,,Centre,mary gordon stough,,855
