,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,RHODE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
58,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,58,12:45,,10,,16 (+6),"GOOD LAYUP by AVANT,LAUREN(in the paint)",RHODE 10-16 (-6),,"GOOD LAYUP by AVANT,LAUREN(in the paint)",1,layup,good,rhodes college,lauren avant,2,765
59,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,59,--,,,,,"ASSIST  by SMITH,BLAIRE",,,"ASSIST  by SMITH,BLAIRE",1,assist,,rhodes college,blaire smith,,
60,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,60,12:42,"FOUL  by HARTLAGE,MAGGIE",,,,,,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,762
61,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,61,12:34,,10,,17 (+7),"GOOD FT by AVANT,LAUREN",RHODE 10-17 (-7),,"GOOD FT by AVANT,LAUREN",1,free throw,good,rhodes college,lauren avant,1,754
62,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,62,12:34,"SUB IN by STOUGH,MARY GORDON",,,,,,,"SUB IN by STOUGH,MARY GORDON",1,subbing in,,Centre,mary gordon stough,,754
63,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,63,12:34,"SUB IN by GUY,ALANNA",,,,,,,"SUB IN by GUY,ALANNA",1,subbing in,,Centre,alanna guy,,754
64,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,64,12:34,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,754
65,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,65,12:34,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,754
66,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,66,12:34,,,,,"SUB IN by TEHRANI,ISABELLE",,,"SUB IN by TEHRANI,ISABELLE",1,subbing in,,rhodes college,isabelle tehrani,,754
67,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,67,12:34,,,,,"SUB OUT by TODMAN,DY'NELLE",,,"SUB OUT by TODMAN,DY'NELLE",1,subbing out,,rhodes college,dy'nelle todman,,754
68,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,68,12:20,"MISS JUMPER by COLLIVER,OLIVIA",,,,,,,"MISS JUMPER by COLLIVER,OLIVIA",1,jumper,missed,Centre,olivia colliver,,740
69,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,69,--,"REBOUND OFF by GUY,ALEXIS",,,,,,,"REBOUND OFF by GUY,ALEXIS",1,offensive rebound,,Centre,alexis guy,,
70,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,70,12:16,,,,,"FOUL  by AVANT,LAUREN",,,"FOUL  by AVANT,LAUREN",1,foul,,rhodes college,lauren avant,,736
