,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
53,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,53,14:14,"GOOD 3PTR by MOSS,SYDNEY",15 (+11),,4,,TMC 15-4 (-11),,"GOOD 3PTR by MOSS,SYDNEY",1,three pointer,good,thomas more college,sydney moss,3,854
54,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,54,--,"ASSIST  by BEASLEY,DEVIN",,,,,,,"ASSIST  by BEASLEY,DEVIN",1,assist,,thomas more college,devin beasley,,
55,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,55,13:59,,,,,"MISS JUMPER by ANDREASSEN,CAROLINE",,,"MISS JUMPER by ANDREASSEN,CAROLINE",1,jumper,missed,Centre,caroline andreassen,,839
56,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,56,--,"REBOUND DEF by COREY,MORIAH",,,,,,,"REBOUND DEF by COREY,MORIAH",1,defensive rebound,,thomas more college,moriah corey,,
57,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,57,13:50,"MISS 3PTR by WAINSCOTT,SYDNI",,,,,,,"MISS 3PTR by WAINSCOTT,SYDNI",1,three pointer,missed,thomas more college,sydni wainscott,,830
58,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,58,--,,,,,"REBOUND DEF by GUY,ALEXIS",,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
59,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,59,13:46,"FOUL  by WAINSCOTT,SYDNI",,,,,,,"FOUL  by WAINSCOTT,SYDNI",1,foul,,thomas more college,sydni wainscott,,826
60,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,60,13:46,"SUB IN by HUBER,OLIVIA",,,,,,,"SUB IN by HUBER,OLIVIA",1,subbing in,,thomas more college,olivia huber,,826
61,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,61,13:46,"SUB OUT by BEASLEY,DEVIN",,,,,,,"SUB OUT by BEASLEY,DEVIN",1,subbing out,,thomas more college,devin beasley,,826
62,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,62,13:37,,,,,"TURNOVER  by COLLIVER,OLIVIA",,,"TURNOVER  by COLLIVER,OLIVIA",1,turnover,,Centre,olivia colliver,,817
63,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,63,13:22,"GOOD 3PTR by MOSS,SYDNEY",18 (+14),,4,,TMC 18-4 (-14),,"GOOD 3PTR by MOSS,SYDNEY",1,three pointer,good,thomas more college,sydney moss,3,802
64,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,64,12:49,"FOUL  by KRUSLING,STEPHANIE",,,,,,,"FOUL  by KRUSLING,STEPHANIE",1,foul,,thomas more college,stephanie krusling,,769
65,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,65,12:49,,18 (+13),,5,"GOOD FT by ANDREASSEN,CAROLINE",CENTRE_W 18-5 (-13),,"GOOD FT by ANDREASSEN,CAROLINE",1,free throw,good,Centre,caroline andreassen,1,769
66,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,66,12:49,,18 (+12),,6,"GOOD FT by ANDREASSEN,CAROLINE",CENTRE_W 18-6 (-12),,"GOOD FT by ANDREASSEN,CAROLINE",1,free throw,good,Centre,caroline andreassen,1,769
67,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,67,12:49,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,769
68,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,68,12:49,,,,,"SUB IN by RHULE,BONNIE",,,"SUB IN by RHULE,BONNIE",1,subbing in,,Centre,bonnie rhule,,769
69,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,69,12:49,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,769
