,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
53,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,53,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
54,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,54,13:15,"FOUL  by JUDY,MICHELE",,,,,,,"FOUL  by JUDY,MICHELE",1,foul,,Centre,michele judy,,795
55,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,55,13:15,,7,,7,"GOOD FT by FISHER,MANDY",FC 7-7 (0),,"GOOD FT by FISHER,MANDY",1,free throw,good,franklin,mandy fisher,1,795
56,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,56,13:15,,7,,8 (+1),"GOOD FT by FISHER,MANDY",FC 7-8 (-1),,"GOOD FT by FISHER,MANDY",1,free throw,good,franklin,mandy fisher,1,795
57,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,57,13:15,"SUB IN by STOUGH,MARY GORDON",,,,,,,"SUB IN by STOUGH,MARY GORDON",1,subbing in,,Centre,mary gordon stough,,795
58,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,58,13:15,"SUB IN by GUY,ALANNA",,,,,,,"SUB IN by GUY,ALANNA",1,subbing in,,Centre,alanna guy,,795
59,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,59,13:15,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,795
60,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,60,13:15,"SUB OUT by JUDY,MICHELE",,,,,,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,795
61,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,61,12:56,"MISS JUMPER by GUY,ALEXIS",,,,,,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,776
62,6,franklin,Centre,Franklin,42-41,42,41,"20, 22, 42","25, 16, 41",20,22,42,25,16,41,4-1,1-3,11/30/13,Win,No Attendence Recorded,No Location Recorded,2 p.m.,A,62,--,,,,,"REBOUND DEF by DESUTTER,LAUREN",,,"REBOUND DEF by DESUTTER,LAUREN",1,defensive rebound,,franklin,lauren desutter,,
