,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,47,14:29,,,,,"MISS JUMPER by ROMANO,JANE",,,"MISS JUMPER by ROMANO,JANE",1,jumper,missed,birmingham-southern,jane romano,,869
48,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,48,--,"REBOUND DEF by GUY,ALANNA",,,,,,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
49,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,49,14:20,,,,,"FOUL  by FORD,KAYLA",,,"FOUL  by FORD,KAYLA",1,foul,,birmingham-southern,kayla ford,,860
50,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,50,14:20,"GOOD FT by GUY,ALANNA",10 (+2),,8,,CENTREW 10-8 (+2),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,860
51,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,51,14:20,"GOOD FT by GUY,ALANNA",11 (+3),,8,,CENTREW 11-8 (+3),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,860
52,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,52,14:20,"SUB IN by COLLIVER,OLIVIA",,,,,,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,860
53,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,53,14:20,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,860
54,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,54,14:20,,,,,"SUB IN by DUPREE,BRIA",,,"SUB IN by DUPREE,BRIA",1,subbing in,,birmingham-southern,bria dupree,,860
55,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,55,14:20,,,,,"SUB IN by BATTS,JASMYNN",,,"SUB IN by BATTS,JASMYNN",1,subbing in,,birmingham-southern,jasmynn batts,,860
56,22,birmingham-southern,Centre,Birmingham-Southern,89-77,89,77,"37, 52, 89","41, 36, 77",37,52,89,41,36,77,"14-7, 8-2 SAA","9-12, 5-5 SAA",02/14/14,Win,No Attendence Recorded,No Location Recorded,6:00 PM,A,56,14:20,,,,,"SUB OUT by BROWN,KELSEY",,,"SUB OUT by BROWN,KELSEY",1,subbing out,,birmingham-southern,kelsey brown,,860
