,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,45,14:23,,,,,"SUB IN by HUTER,LAUREN",,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,863
46,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,46,14:23,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,863
47,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,47,14:23,,,,,"SUB OUT by WEST,CAILYNN",,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,863
48,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,48,14:23,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,863
49,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,49,14:23,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,863
50,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,50,13:54,,11,,14 (+3),"GOOD JUMPER by PREWITT,MAGGIE(in the paint)",CEN 11-14 (+3),,"GOOD JUMPER by PREWITT,MAGGIE(in the paint)",1,jumper,good,Centre,maggie prewitt,2,834
51,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,51,13:39,"TURNOVER  by BROOKS,ELIZABETH",,,,,,,"TURNOVER  by BROOKS,ELIZABETH",1,turnover,,mississippi college,elizabeth brooks,,819
52,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,52,13:39,"SUB IN by ENGLAND,LINDSAY",,,,,,,"SUB IN by ENGLAND,LINDSAY",1,subbing in,,mississippi college,lindsay england,,819
53,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,53,13:39,"SUB IN by RODGERS,TRACI",,,,,,,"SUB IN by RODGERS,TRACI",1,subbing in,,mississippi college,traci rodgers,,819
54,11,mississippi-col-,Mississippi College,Centre,69-56,69,56,"34, 35, 69","18, 38, 56",34,35,69,18,38,56,10-1,5-5,12/30/11,Win,No Attendence Recorded,No Location Recorded,11:00 a.m.,H,54,13:39,"SUB IN by BROWN,CAITLIN",,,,,,,"SUB IN by BROWN,CAITLIN",1,subbing in,,mississippi college,caitlin brown,,819
