,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,44,14:58,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,898
45,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,45,--,,,,,"REBOUND DEF by GILES,SARAH",,,"REBOUND DEF by GILES,SARAH",1,defensive rebound,,oglethorpe,sarah giles,,
46,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,46,14:53,,,,,"TURNOVER  by GILES,SARAH",,,"TURNOVER  by GILES,SARAH",1,turnover,,oglethorpe,sarah giles,,893
47,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,47,14:52,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,892
48,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,48,14:52,"SUB IN by GOATLEY,JANE",,,,,,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,892
49,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,49,14:52,"SUB IN by MIRE,JENNA",,,,,,,"SUB IN by MIRE,JENNA",1,subbing in,,Centre,jenna mire,,892
50,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,50,14:52,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,892
51,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,51,14:52,"SUB OUT by PREWITT,MAGGIE",,,,,,,"SUB OUT by PREWITT,MAGGIE",1,subbing out,,Centre,maggie prewitt,,892
52,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,52,14:52,,,,,"SUB IN by CERONE,RILEY",,,"SUB IN by CERONE,RILEY",1,subbing in,,oglethorpe,riley cerone,,892
53,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,53,14:52,,,,,"SUB IN by BRANDON,MORGHAN",,,"SUB IN by BRANDON,MORGHAN",1,subbing in,,oglethorpe,morghan brandon,,892
54,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,54,14:52,,,,,"SUB IN by ROGERS,KY'LAINE",,,"SUB IN by ROGERS,KY'LAINE",1,subbing in,,oglethorpe,ky'laine rogers,,892
