,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RCWBB12,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
50,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,50,15:17,,,,,"SUB OUT by PREWITT,MAGGIE",,,"SUB OUT by PREWITT,MAGGIE",1,subbing out,,Centre,maggie prewitt,,917
51,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,51,15:17,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,917
52,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,52,15:13,,4,,12 (+8),"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE_W 4-12 (+8),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,913
53,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,53,15:08,"SUB IN by HANDELMAN,AMY",,,,,,,"SUB IN by HANDELMAN,AMY",1,subbing in,,rhodes,amy handelman,,908
54,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,54,15:08,"SUB OUT by BELL,SHARWIL",,,,,,,"SUB OUT by BELL,SHARWIL",1,subbing out,,rhodes,sharwil bell,,908
55,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,55,15:08,"SUB OUT by GOODRUM,NATALIE",,,,,,,"SUB OUT by GOODRUM,NATALIE",1,subbing out,,rhodes,natalie goodrum,,908
56,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,56,15:08,"SUB OUT by WOMACK,SARAH",,,,,,,"SUB OUT by WOMACK,SARAH",1,subbing out,,rhodes,sarah womack,,908
57,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,57,15:06,"MISS 3PTR by GOODRUM,NATALIE",,,,,,,"MISS 3PTR by GOODRUM,NATALIE",1,three pointer,missed,rhodes,natalie goodrum,,906
58,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,58,--,,,,,"REBOUND DEF by MIRE,JENNA",,,"REBOUND DEF by MIRE,JENNA",1,defensive rebound,,Centre,jenna mire,,
59,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,59,14:59,,,,,"TURNOVER  by GOATLEY,JANE",,,"TURNOVER  by GOATLEY,JANE",1,turnover,,Centre,jane goatley,,899
