,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MILLW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,45,14:16,"SUB IN by EARL,BRITTNEI",,,,,,,"SUB IN by EARL,BRITTNEI",1,subbing in,,millsaps college,brittnei earl,,856
46,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,46,14:16,"SUB IN by PEREZ,SAMANTHA",,,,,,,"SUB IN by PEREZ,SAMANTHA",1,subbing in,,millsaps college,samantha perez,,856
47,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,47,14:16,"SUB OUT by WHITE,SHATOYA",,,,,,,"SUB OUT by WHITE,SHATOYA",1,subbing out,,millsaps college,shatoya white,,856
48,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,48,14:16,"SUB OUT by OKEKE,JANICE",,,,,,,"SUB OUT by OKEKE,JANICE",1,subbing out,,millsaps college,janice okeke,,856
49,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,49,14:16,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,856
50,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,50,14:16,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,856
51,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,51,14:06,"GOOD 3PTR by LOVE,LOVIE",12 (+4),,8,,MILLW 12-8 (-4),,"GOOD 3PTR by LOVE,LOVIE",1,three pointer,good,millsaps college,lovie love,3,846
52,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,52,13:36,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,816
53,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,53,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
54,23,millsaps,Millsaps College,Centre College,66-51,66,51,"33, 33, 66","22, 29, 51",33,33,66,22,29,51,"21-2, 14-1 SCAC","19-5, 11-4 SCAC",02/17/12,Win,512,No Location Recorded,6:00 p.m.,H,54,13:31,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,811
