,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
57,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,57,14:27,"GOOD FT by AVANT,LAUREN",3,,12 (+9),,RHODES 3-12 (+9),,"GOOD FT by AVANT,LAUREN",1,free throw,good,rhodes college,lauren avant,1,867
58,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,58,14:07,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,847
59,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,59,14:07,"BLOCK  by BARBER,MARY",,,,,,,"BLOCK  by BARBER,MARY",1,block,,rhodes college,mary barber,,847
60,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,60,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
61,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,61,13:56,,3,,15 (+12),"GOOD 3PTR by GOATLEY,JANE",CENTRE_W 3-15 (+12),,"GOOD 3PTR by GOATLEY,JANE",1,three pointer,good,Centre,jane goatley,3,836
62,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,62,--,,,,,"ASSIST  by HARTLAGE,MAGGIE",,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
63,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,63,13:41,"GOOD 3PTR by GOODRUM,NATALIE",6,,15 (+9),,RHODES 6-15 (+9),,"GOOD 3PTR by GOODRUM,NATALIE",1,three pointer,good,rhodes college,natalie goodrum,3,821
64,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,64,--,"ASSIST  by JOHNSON,SARAH",,,,,,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes college,sarah johnson,,
65,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,65,13:24,,6,,18 (+12),"GOOD 3PTR by GOATLEY,JANE",CENTRE_W 6-18 (+12),,"GOOD 3PTR by GOATLEY,JANE",1,three pointer,good,Centre,jane goatley,3,804
66,26,rhodes,Rhodes College,Centre College,67-56,67,56,"44, 23","22, 34",44,23,22,34,No record reported,No record reported,02/25/12,Win,No Attendence Recorded,No Location Recorded,5:15 PM,H,66,--,,,,,"ASSIST  by HARTLAGE,MAGGIE",,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
