,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
49,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,49,14:31,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,871
50,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,50,--,"REBOUND DEF by LOGAN,VALERIE",,,,,,,"REBOUND DEF by LOGAN,VALERIE",1,defensive rebound,,southwestern univ.,valerie logan,,
51,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,51,14:21,"MISS JUMPER by OWENS,JORDAN",,,,,,,"MISS JUMPER by OWENS,JORDAN",1,jumper,missed,southwestern univ.,jordan owens,,861
52,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,52,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
53,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,53,14:14,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,854
54,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,54,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
55,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,55,14:09,,8,,8,"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE_W 8-8 (0),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,849
56,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,56,--,,,,,"ASSIST  by HUTER,LAUREN",,,"ASSIST  by HUTER,LAUREN",1,assist,,Centre,lauren huter,,
57,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,57,13:56,"MISS 3PTR by LEEDER,CHELSEA",,,,,,,"MISS 3PTR by LEEDER,CHELSEA",1,three pointer,missed,southwestern univ.,chelsea leeder,,836
58,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,58,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
59,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,59,13:47,,8,,11 (+3),"GOOD 3PTR by GOATLEY,JANE",CENTRE_W 8-11 (+3),,"GOOD 3PTR by GOATLEY,JANE",1,three pointer,good,Centre,jane goatley,3,827
60,15,southwestern-tex-,Southwestern Univ.,Centre College,79-55,79,55,"40, 39, 79","27, 28, 55",40,39,79,27,28,55,"14-1, 8-0 SCAC","8-8, 5-2 SCAC",01/20/12,Win,348,No Location Recorded,6:00 p.m.,H,60,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
