,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,opponentScorePeriod1,opponentScorePeriod2,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
53,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,53,15:27,"FOUL  by JOHNSON,VELVET",,,,,,,"FOUL  by JOHNSON,VELVET",1,foul,,millsaps,velvet johnson,,927
54,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,54,15:27,"TURNOVER  by JOHNSON,VELVET",,,,,,,"TURNOVER  by JOHNSON,VELVET",1,turnover,,millsaps,velvet johnson,,927
55,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,55,15:27,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,927
56,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,56,15:27,,,,,"SUB IN by HUTER,LAUREN",,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,927
57,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,57,15:27,,,,,"SUB OUT by WEST,CAILYNN",,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,927
58,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,58,15:27,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,927
59,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,59,15:04,,,,,"MISS JUMPER by GOATLEY,JANE",,,"MISS JUMPER by GOATLEY,JANE",1,jumper,missed,Centre,jane goatley,,904
60,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,60,--,"REBOUND DEF by LOVE,LOVIE",,,,,,,"REBOUND DEF by LOVE,LOVIE",1,defensive rebound,,millsaps,lovie love,,
61,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,61,14:59,"GOOD LAYUP by LOVE,LOVIE(in the paint)",6,,6,,MC 6-6 (0),,"GOOD LAYUP by LOVE,LOVIE(in the paint)",1,layup,good,millsaps,lovie love,2,899
62,27,millsaps,Millsaps,Centre College,60-48,60,48,"31, 29","23, 25",31,29,23,25,No record reported,No record reported,02/26/12,Win,No Attendence Recorded,No Location Recorded,2:30 PM,H,62,14:40,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,880
