,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,43,06:05,,,,,"SUB OUT by BROWN,ALEXANDRIA",,,"SUB OUT by BROWN,ALEXANDRIA",1,subbing out,,oglethorpe,alexandria brown,,365
44,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,44,06:05,,,,,"SUB OUT by BUCK,EMILY",,,"SUB OUT by BUCK,EMILY",1,subbing out,,oglethorpe,emily buck,,365
45,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,45,05:49,"MISS 3PTR by GUY,ALEXIS",,,,,,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,349
46,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,46,--,,,,,"REBOUND DEF by BLECKLEY,ALI",,,"REBOUND DEF by BLECKLEY,ALI",1,defensive rebound,,oglethorpe,ali bleckley,,
47,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,47,05:28,,2,,12 (+10),"GOOD 3PTR by CHARLES,BAILEY",OUW 2-12 (-10),,"GOOD 3PTR by CHARLES,BAILEY",1,three pointer,good,oglethorpe,bailey charles,3,328
48,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,48,--,,,,,"ASSIST  by BLECKLEY,ALI",,,"ASSIST  by BLECKLEY,ALI",1,assist,,oglethorpe,ali bleckley,,
49,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,49,05:13,"MISS LAYUP by GUY,ALEXIS",,,,,,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,313
50,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,50,--,,,,,"REBOUND DEF by SPRY,REBECCA",,,"REBOUND DEF by SPRY,REBECCA",1,defensive rebound,,oglethorpe,rebecca spry,,
51,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,51,04:56,,2,,15 (+13),"GOOD 3PTR by SPRY,REBECCA",OUW 2-15 (-13),,"GOOD 3PTR by SPRY,REBECCA",1,three pointer,good,oglethorpe,rebecca spry,3,296
52,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,52,--,,,,,"ASSIST  by CHARLES,BAILEY",,,"ASSIST  by CHARLES,BAILEY",1,assist,,oglethorpe,bailey charles,,
53,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,53,04:47,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,287
54,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,54,04:46,,,,,"STEAL  by CHARLES,BAILEY",,,"STEAL  by CHARLES,BAILEY",1,steal,,oglethorpe,,,286
55,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,55,04:41,,2,,17 (+15),"GOOD JUMPER by CHARLES,BAILEY(fastbreak)",OUW 2-17 (-15),,"GOOD JUMPER by CHARLES,BAILEY(fastbreak)",1,jumper,good,oglethorpe,bailey(fastbreak) charles,2,281
56,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,56,04:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,281
57,19,oglethorpe,Centre,Oglethorpe,45-65,45,65,"8, 15, 13, 9, 45","23, 8, 20, 14, 65",8,15,13,9,45,23,8,20,14,65,"5-14, 3-5 SAA","8-10, 3-5 SAA",01/31/16,Lose,225,No Location Recorded,1 p.m.,A,57,04:41,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,281
