,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MAR-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,55,05:16,"SUB OUT by LIEDTKE,MORGAN",,,,,,,"SUB OUT by LIEDTKE,MORGAN",1,subbing out,,marietta,morgan liedtke,,316
56,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,56,05:16,,,,,"SUB IN by RHULE,BONNIE",,,"SUB IN by RHULE,BONNIE",1,subbing in,,Centre,bonnie rhule,,316
57,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,57,05:16,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,316
58,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,58,05:16,,,,,"SUB OUT by MOORE,KATIE",,,"SUB OUT by MOORE,KATIE",1,subbing out,,Centre,katie moore,,316
59,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,59,05:16,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,316
60,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,60,05:16,,,,,"SUB OUT by GUY,ALEXIS",,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,316
61,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,61,05:16,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,316
62,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,62,05:01,"FOUL  by RAUCH,JORDANNA",,,,,,,"FOUL  by RAUCH,JORDANNA",1,foul,,marietta,jordanna rauch,,301
63,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,63,05:01,"SUB IN by BARKER,ASHLEY",,,,,,,"SUB IN by BARKER,ASHLEY",1,subbing in,,marietta,ashley barker,,301
64,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,64,05:01,"SUB OUT by BORICH,BROOKE",,,,,,,"SUB OUT by BORICH,BROOKE",1,subbing out,,marietta,brooke borich,,301
65,3,marietta,Marietta,Centre,47-67,47,67,"10, 9, 15, 13, 47","15, 17, 16, 19, 67",10,9,15,13,47,15,17,16,19,67,1-2,3-0,11/21/15,Lose,159,No Location Recorded,3:00 PM,H,65,04:55,,10 (+6),,4,"GOOD JUMPER by GUY,ALEXIS",CENTRE-W 10-4 (-6),,"GOOD JUMPER by GUY,ALEXIS",1,jumper,good,Centre,alexis guy,2,295
