,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
57,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,57,04:25,"SUB OUT by LEWIS,SHERMEKA",,,,,,,"SUB OUT by LEWIS,SHERMEKA",1,subbing out,,rust,shermeka lewis,,265
58,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,58,04:25,,,,,"SUB IN by JUDY,MICHELE",,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,265
59,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,59,04:25,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,265
60,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,60,04:25,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,265
61,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,61,04:25,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,265
62,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,62,04:23,"TURNOVER  by MCELVAINE,ANDREA",,,,,,,"TURNOVER  by MCELVAINE,ANDREA",1,turnover,,rust,andrea mcelvaine,,263
63,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,63,04:22,,,,,"STEAL  by JUDY,MICHELE",,,"STEAL  by JUDY,MICHELE",1,steal,,Centre,,,262
64,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,64,04:00,,,,,"MISS JUMPER by GUY,ALEXIS",,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,240
65,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,65,--,"REBOUND DEF by RAYFORD,MEGAN",,,,,,,"REBOUND DEF by RAYFORD,MEGAN",1,defensive rebound,,rust,megan rayford,,
66,2,rust,Rust,Centre,72-44,72,44,"17, 14, 19, 22, 72","9, 7, 16, 12, 44",17,14,19,22,72,9,7,16,12,44,1-1,0-3,11/20/15,Win,206,No Location Recorded,7:00 PM,H,66,03:35,"MISS JUMPER by WILLIAMS,BRITTNEY",,,,,,,"MISS JUMPER by WILLIAMS,BRITTNEY",1,jumper,missed,rust,brittney williams,,215
