,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
44,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,44,--,"REBOUND DEF by SHORT,MELANIE",,,,,,,"REBOUND DEF by SHORT,MELANIE",1,defensive rebound,,birmingham-southern,melanie short,,
45,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,45,13:30,"TURNOVER  by MOORE,ERIN",,,,,,,"TURNOVER  by MOORE,ERIN",1,turnover,,birmingham-southern,erin moore,,810
46,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,46,13:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,810
47,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,47,13:30,"SUB IN by ADAMS,ALEX",,,,,,,"SUB IN by ADAMS,ALEX",1,subbing in,,birmingham-southern,alex adams,,810
48,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,48,13:30,"SUB OUT by MOORE,ERIN",,,,,,,"SUB OUT by MOORE,ERIN",1,subbing out,,birmingham-southern,erin moore,,810
49,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,49,13:12,,8,,11 (+3),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 8-11 (+3),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,792
50,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,50,12:50,"MISS JUMPER by KING,CAROLINE",,,,,,,"MISS JUMPER by KING,CAROLINE",1,jumper,missed,birmingham-southern,caroline king,,770
51,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,51,--,"REBOUND OFF by ADAMS,ALEX",,,,,,,"REBOUND OFF by ADAMS,ALEX",1,offensive rebound,,birmingham-southern,alex adams,,
52,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,52,12:47,"GOOD LAYUP by ADAMS,ALEX(in the paint)",10,,11 (+1),,BSC 10-11 (+1),,"GOOD LAYUP by ADAMS,ALEX(in the paint)",1,layup,good,birmingham-southern,alex adams,2,767
53,21,birmingham-southern,Birmingham-Southern,Centre College,75-69,75,69,"30, 31, 14, 75","25, 36, 8, 69",30,31,14,75,25,36,8,69,"11-10, 9-2 SAA","10-12, 5-6 SAA",02/08/13,Win,314,No Location Recorded,6:00 PM,H,53,12:30,,10,,13 (+3),"GOOD LAYUP by STOUGH,MARY(in the paint)",CENTRE_W 10-13 (+3),,"GOOD LAYUP by STOUGH,MARY(in the paint)",1,layup,good,Centre,mary stough,2,750
