,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,47,15:18,,,,,"STEAL  by SANTAMARIA,ALEXA",,,"STEAL  by SANTAMARIA,ALEXA",1,steal,,thomas more,,,918
48,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,48,15:13,"SUB IN by HARTLAGE,MAGGIE",,,,,,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,913
49,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,49,15:13,"SUB IN by WINSTEAD,MARY",,,,,,,"SUB IN by WINSTEAD,MARY",1,subbing in,,Centre,mary winstead,,913
50,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,50,15:13,"SUB IN by BENHAM,CHELSEA",,,,,,,"SUB IN by BENHAM,CHELSEA",1,subbing in,,Centre,chelsea benham,,913
51,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,51,15:13,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,913
52,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,52,15:13,"SUB OUT by GUY,ALANNA",,,,,,,"SUB OUT by GUY,ALANNA",1,subbing out,,Centre,alanna guy,,913
53,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,53,15:13,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,913
54,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,54,15:13,"SUB OUT by STOUGH,MARY",,,,,,,"SUB OUT by STOUGH,MARY",1,subbing out,,Centre,mary stough,,913
55,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,55,15:09,,,,,"MISS JUMPER by KITCHEN,KATIE",,,"MISS JUMPER by KITCHEN,KATIE",1,jumper,missed,thomas more,katie kitchen,,909
56,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,56,--,,,,,"REBOUND OFF by BURGOYNE,JENNY",,,"REBOUND OFF by BURGOYNE,JENNY",1,offensive rebound,,thomas more,jenny burgoyne,,
57,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,57,15:05,,2,,7 (+5),"GOOD LAYUP by BURGOYNE,JENNY(in the paint)",TMC 2-7 (-5),,"GOOD LAYUP by BURGOYNE,JENNY(in the paint)",1,layup,good,thomas more,jenny burgoyne,2,905
58,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,58,15:01,"SUB IN by STOUGH,MARY",,,,,,,"SUB IN by STOUGH,MARY",1,subbing in,,Centre,mary stough,,901
59,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,59,14:58,"GOOD JUMPER by MOORE,HILLARY(fastbreak)",4,,7 (+3),,CENTRE_W 4-7 (-3),,"GOOD JUMPER by MOORE,HILLARY(fastbreak)",1,jumper,good,Centre,hillary(fastbreak) moore,2,898
60,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,60,14:46,,,,,"TURNOVER  by BEASLEY,DEVIN",,,"TURNOVER  by BEASLEY,DEVIN",1,turnover,,thomas more,devin beasley,,886
61,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,61,14:46,,,,,"SUB IN by GAINES,NAKHARRA",,,"SUB IN by GAINES,NAKHARRA",1,subbing in,,thomas more,nakharra gaines,,886
62,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,62,14:46,,,,,"SUB OUT by BURGOYNE,JENNY",,,"SUB OUT by BURGOYNE,JENNY",1,subbing out,,thomas more,jenny burgoyne,,886
63,3,thomas-more,Centre,Thomas More,54-66,54,66,"29, 25, 54","36, 30, 66",29,25,54,36,30,66,1-2,3-0,11/20/12,Lose,356,No Location Recorded,7 p.m.,A,63,14:20,,,,,"FOUL  by KITCHEN,KATIE",,,"FOUL  by KITCHEN,KATIE",1,foul,,thomas more,katie kitchen,,860
