,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
46,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,46,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes,sarah johnson,,
47,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,47,14:05,,,,,"FOUL  by KRAMER,BAILEY",,,"FOUL  by KRAMER,BAILEY",1,foul,,rhodes,bailey kramer,,845
48,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,48,14:05,"GOOD FT by GUY,ALEXIS",6,,13 (+7),,CENTRE_W 6-13 (-7),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,845
49,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,49,14:05,"GOOD FT by GUY,ALEXIS",7,,13 (+6),,CENTRE_W 7-13 (-6),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,845
50,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,50,14:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,845
51,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,51,14:05,"SUB IN by LEWIS,KENDALL",,,,,,,"SUB IN by LEWIS,KENDALL",1,subbing in,,Centre,kendall lewis,,845
52,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,52,14:05,"SUB IN by HARTLAGE,MAGGIE",,,,,,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,845
53,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,53,14:05,"SUB OUT by GUY,ALEXIS",,,,,,,"SUB OUT by GUY,ALEXIS",1,subbing out,,Centre,alexis guy,,845
54,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,54,14:05,"SUB OUT by COLLIVER,OLIVIA",,,,,,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,845
55,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,55,13:36,,7,,16 (+9),"GOOD 3PTR by TODMAN,DY'NELLE",RHODES 7-16 (-9),,"GOOD 3PTR by TODMAN,DY'NELLE",1,three pointer,good,rhodes,dy'nelle todman,3,816
