,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,47,15:13,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,913
48,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,48,15:01,"GOOD 3PTR by HAMMON,REBECCA",8 (+2),,6,,BCW 8-6 (-2),,"GOOD 3PTR by HAMMON,REBECCA",1,three pointer,good,berry college,rebecca hammon,3,901
49,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,49,--,"ASSIST  by PIERCE,ZARRIAH",,,,,,,"ASSIST  by PIERCE,ZARRIAH",1,assist,,berry college,zarriah pierce,,
50,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,50,14:49,,,,,"TURNOVER  by SCHAD,OLIVIA",,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,889
51,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,51,14:48,"STEAL  by PIERCE,ZARRIAH",,,,,,,"STEAL  by PIERCE,ZARRIAH",1,steal,,berry college,,,888
52,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,52,14:46,"GOOD LAYUP by PIERCE,ZARRIAH(in the paint)",10 (+4),,6,,BCW 10-6 (-4),,"GOOD LAYUP by PIERCE,ZARRIAH(in the paint)",1,layup,good,berry college,zarriah pierce,2,886
53,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,53,14:25,,,,,"TURNOVER  by JUDY,MICHELE",,,"TURNOVER  by JUDY,MICHELE",1,turnover,,Centre,michele judy,,865
54,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,54,14:25,"STEAL  by SEGARRA,CHANLIR",,,,,,,"STEAL  by SEGARRA,CHANLIR",1,steal,,berry college,,,865
55,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,55,14:05,"GOOD 3PTR by HAMMON,REBECCA",13 (+7),,6,,BCW 13-6 (-7),,"GOOD 3PTR by HAMMON,REBECCA",1,three pointer,good,berry college,rebecca hammon,3,845
56,16,berry,Berry College,Centre College,65-58,65,58,"28, 37, 65","26, 32, 58",28,37,65,26,32,58,"7-10, 3-4 SAA","13-5, 5-2 SAA",01/30/15,Win,139,No Location Recorded,6:00 PM,H,56,--,"ASSIST  by SEGARRA,CHANLIR",,,,,,,"ASSIST  by SEGARRA,CHANLIR",1,assist,,berry college,chanlir segarra,,
