,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
54,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,54,14:22,"TURNOVER  by KRAMER,BAILEY",,,,,,,"TURNOVER  by KRAMER,BAILEY",1,turnover,,rhodes college,bailey kramer,,862
55,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,55,14:22,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,862
56,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,56,14:22,,,,,"SUB OUT by COLLIVER,OLIVIA",,,"SUB OUT by COLLIVER,OLIVIA",1,subbing out,,Centre,olivia colliver,,862
57,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,57,14:08,,0,,16 (+16),"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE_W 0-16 (+16),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,848
58,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,58,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
59,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,59,13:43,,,,,"FOUL  by ANDREASSEN,CAROLINE",,,"FOUL  by ANDREASSEN,CAROLINE",1,foul,,Centre,caroline andreassen,,823
60,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,60,13:43,"GOOD FT by JOHNSON,SARAH",1,,16 (+15),,RHODE 1-16 (+15),,"GOOD FT by JOHNSON,SARAH",1,free throw,good,rhodes college,sarah johnson,1,823
61,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,61,13:43,"MISS FT by JOHNSON,SARAH",,,,,,,"MISS FT by JOHNSON,SARAH",1,free throw,missed,rhodes college,sarah johnson,,823
62,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,62,--,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
63,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,63,13:43,"SUB IN by BUTLER,MADISON",,,,,,,"SUB IN by BUTLER,MADISON",1,subbing in,,rhodes college,madison butler,,823
64,18,rhodes,Rhodes College,Centre College,59-43,59,43,"35, 24, 59","23, 20, 43",35,24,59,23,20,43,"8-11, 4-5 SAA","13-7, 4-5 SAA",02/06/15,Win,316,No Location Recorded,6:00 PM,H,64,13:43,"SUB OUT by DANIELS,SYMONE",,,,,,,"SUB OUT by DANIELS,SYMONE",1,subbing out,,rhodes college,symone daniels,,823
