,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
54,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,54,14:50,,,,,"MISS LAYUP by PIERCE,ZARRIAH",,,"MISS LAYUP by PIERCE,ZARRIAH",1,layup,missed,berry college,zarriah pierce,,890
55,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,55,14:50,"BLOCK  by JUDY,MICHELE",,,,,,,"BLOCK  by JUDY,MICHELE",1,block,,Centre,michele judy,,890
56,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,56,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
57,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,57,14:28,"GOOD LAYUP by SCHAD,OLIVIA(in the paint)",10 (+3),,7,,CENTREW 10-7 (+3),,"GOOD LAYUP by SCHAD,OLIVIA(in the paint)",1,layup,good,Centre,olivia schad,2,868
58,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,58,--,"ASSIST  by JUDY,MICHELE",,,,,,,"ASSIST  by JUDY,MICHELE",1,assist,,Centre,michele judy,,
59,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,59,14:15,,,,,"MISS 3PTR by LYNCH,ROSIE",,,"MISS 3PTR by LYNCH,ROSIE",1,three pointer,missed,berry college,rosie lynch,,855
60,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,60,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
61,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,61,14:13,,,,,"SUB IN by MCLURE,VALERIE",,,"SUB IN by MCLURE,VALERIE",1,subbing in,,berry college,valerie mclure,,853
62,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,62,14:13,,,,,"SUB OUT by PIERCE,ZARRIAH",,,"SUB OUT by PIERCE,ZARRIAH",1,subbing out,,berry college,zarriah pierce,,853
63,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,63,13:49,"MISS JUMPER by HARTLAGE,MAGGIE",,,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,829
64,22,berry,Centre College,Berry College,72-65,72,65,"29, 43, 72","21, 44, 65",29,43,72,21,44,65,"9-14, 5-8","16-8, 8-5",02/20/15,Win,400,No Location Recorded,6 p.m.,A,64,--,"REBOUND OFF by LEWIS,KENDALL",,,,,,,"REBOUND OFF by LEWIS,KENDALL",1,offensive rebound,,Centre,kendall lewis,,
